Species,Species_gbif,Sample Number,Code,Collected,Ethanol,Dried,Scanned,Dried-2,Weighed,Weight_g
Salvia sclarea,Salvia sclarea,1,sal_scl_1,yes,yes,yes,yes,yes,yes,0.0041
Salvia sclarea,Salvia sclarea,2,sal_scl_2,yes,yes,yes,yes,yes,yes,0.0036
Salvia sclarea,Salvia sclarea,3,sal_scl_3,yes,yes,yes,yes,yes,yes,0.0035
Salvia sclarea,Salvia sclarea,4,sal_scl_4,yes,yes,yes,yes,yes,yes,0.0021
Salvia sclarea,Salvia sclarea,5,sal_scl_5,yes,yes,yes,yes,yes,yes,0.0028
Scirpoides holoschoenus,Scirpoides holoschoenus,1,sci_hol_1,yes,yes,yes,yes,yes,yes,0.0008
Scirpoides holoschoenus,Scirpoides holoschoenus,2,sci_hol_2,yes,yes,yes,yes,yes,yes,0.0025
Scirpoides holoschoenus,Scirpoides holoschoenus,3,sci_hol_3,yes,yes,yes,yes,yes,yes,0.0019
Scirpoides holoschoenus,Scirpoides holoschoenus,4,sci_hol_4,yes,yes,yes,yes,yes,yes,0.0047
Scirpoides holoschoenus,Scirpoides holoschoenus,5,sci_hol_5,yes,yes,yes,yes,yes,yes,0.0059
Dorycnium rectum,Lotus rectus,1,dor_rec_1,yes,yes,yes,yes,yes,yes,0.0338
Dorycnium rectum,Lotus rectus,2,dor_rec_2,yes,yes,yes,yes,yes,yes,0.0121
Dorycnium rectum,Lotus rectus,3,dor_rec_3,yes,yes,yes,yes,yes,yes,0.0253
Cerastium arvense,Cerastium arvense,1,cer_arv_1,yes,yes,yes,yes,yes,yes,0.0079
Cerastium arvense,Cerastium arvense,2,cer_arv_2,yes,yes,yes,yes,yes,yes,0.0024
Cerastium arvense,Cerastium arvense,3,cer_arv_3,yes,yes,yes,yes,yes,yes,0.0178
Cerastium arvense,Cerastium arvense,4,cer_arv_4,yes,yes,yes,yes,yes,yes,0.0032
Cerastium arvense,Cerastium arvense,5,cer_arv_5,yes,yes,yes,yes,yes,yes,0.0031
Erodium trifolium,Erodium trifolium,1,ero_tri_1,yes,yes,yes,yes,yes,yes,0.0019
Erodium trifolium,Erodium trifolium,2,ero_tri_2,yes,yes,yes,yes,yes,yes,0.0028
Erodium trifolium,Erodium trifolium,3,ero_tri_3,yes,yes,yes,yes,yes,yes,0.0017
Erodium trifolium,Erodium trifolium,4,ero_tri_4,yes,yes,yes,yes,yes,yes,0.0018
Erodium trifolium,Erodium trifolium,5,ero_tri_5,yes,yes,yes,yes,yes,yes,0.0029
Linum perenne,Linum perenne,1,lin_per_1,yes,yes,yes,yes,yes,yes,0.0018
Linum perenne,Linum perenne,2,lin_per_2,yes,yes,yes,yes,yes,yes,0.0049
Linum perenne,Linum perenne,3,lin_per_3,yes,yes,yes,yes,yes,yes,0.0064
Linum perenne,Linum perenne,4,lin_per_4,yes,yes,yes,yes,yes,yes,0.0049
Linum perenne,Linum perenne,5,lin_per_5,yes,yes,yes,yes,yes,yes,0.0047
Alchemilla mollis,Alchemilla mollis,1,alc_mol_1,yes,yes,yes,yes,yes,yes,0.0059
Alchemilla mollis,Alchemilla mollis,2,alc_mol_2,yes,yes,yes,yes,yes,yes,0.0093
Alchemilla mollis,Alchemilla mollis,3,alc_mol_3,yes,yes,yes,yes,yes,yes,0.0287
Alchemilla mollis,Alchemilla mollis,4,alc_mol_4,yes,yes,yes,yes,yes,yes,0.0039
Alchemilla mollis,Alchemilla mollis,5,alc_mol_5,yes,yes,yes,yes,yes,yes,0.0094
Polygonum scoparium,Polygonum scoparium,1,pol_sco_1,yes,yes,yes,yes,yes,yes,0.0119
Polygonum scoparium,Polygonum scoparium,2,pol_sco_2,yes,yes,yes,yes,yes,yes,0.0017
Polygonum scoparium,Polygonum scoparium,3,pol_sco_3,yes,yes,yes,yes,yes,yes,0.0039
Polygonum scoparium,Polygonum scoparium,4,pol_sco_4,yes,yes,yes,yes,yes,yes,0.0026
Polygonum scoparium,Polygonum scoparium,5,pol_sco_5,yes,yes,yes,yes,yes,yes,0.0037
Anemone tomentosa,Eriocapitella tomentosa,1,ane_tom_1,yes,yes,yes,yes,yes,yes,0.0131
Anemone tomentosa,Eriocapitella tomentosa,2,ane_tom_2,yes,yes,yes,yes,yes,yes,0.0434
Anemone tomentosa,Eriocapitella tomentosa,3,ane_tom_3,yes,yes,yes,yes,yes,yes,0.0234
Anemone tomentosa,Eriocapitella tomentosa,4,ane_tom_4,yes,yes,yes,yes,yes,yes,0.0291
Anemone tomentosa,Eriocapitella tomentosa,5,ane_tom_5,yes,yes,yes,yes,yes,yes,0.0154
Mercurialis annua,Mercurialis annua,1,mer_ann_1,yes,yes,yes,yes,yes,yes,0.0039
Mercurialis annua,Mercurialis annua,2,mer_ann_2,yes,yes,yes,yes,yes,yes,0.0161
Mercurialis annua,Mercurialis annua,3,mer_ann_3,yes,yes,yes,yes,yes,yes,0.0014
Mercurialis annua,Mercurialis annua,4,mer_ann_4,yes,yes,yes,yes,yes,yes,0.0029
Mercurialis annua,Mercurialis annua,5,mer_ann_5,yes,yes,yes,yes,yes,yes,0.0045
Aurinia saxatilis,Aurinia saxatilis,1,aur_sax_1,yes,yes,yes,yes,yes,yes,0.0071
Aurinia saxatilis,Aurinia saxatilis,2,aur_sax_2,yes,yes,yes,yes,yes,yes,0.0031
Aurinia saxatilis,Aurinia saxatilis,3,aur_sax_3,yes,yes,yes,yes,yes,yes,0.0051
Aurinia saxatilis,Aurinia saxatilis,4,aur_sax_4,yes,yes,yes,yes,yes,yes,0.0038
Aurinia saxatilis,Aurinia saxatilis,5,aur_sax_5,yes,yes,yes,yes,yes,yes,0.0044
Brassica nigra,Brassica nigra,1,bra_nig_1,yes,yes,yes,yes,yes,yes,0.007
Brassica nigra,Brassica nigra,2,bra_nig_2,yes,yes,yes,yes,yes,yes,0.013
Brassica nigra,Brassica nigra,3,bra_nig_3,yes,yes,yes,yes,yes,yes,0.0028
Brassica nigra,Brassica nigra,4,bra_nig_4,yes,yes,yes,yes,yes,yes,0.0047
Brassica nigra,Brassica nigra,5,bra_nig_5,yes,yes,yes,yes,yes,yes,0.0069
