file_name,ROI,root_tips,branch_points,length_mm,branching_freq_mm-1,network_area_mm2,mean_diameter_mm,median_diameter_mm,max_diameter_mm,perimeter_mm,volume_mm3,SA_mm2
iri_mis_2.jpg,roi_2,219,313,654.036,0.479,390.379,0.775,0.677,3.082,1013.379,430.204,1599.752
iri_mis_5.jpg,roi_2,527,783,1538.509,0.509,842.059,0.781,0.645,3.772,2209.193,1099.853,3780.518
jun_inf_1.jpg,roi_2,225,493,563.961,0.874,126.383,0.327,0.239,1.401,872.364,76.006,572.604
jun_inf_2.jpg,roi_2,116,264,312.95,0.844,48.521,0.211,0.169,0.728,536.946,14.952,204.068
jun_inf_3.jpg,roi_2,546,1292,1649.086,0.783,368.261,0.323,0.239,1.818,2622.883,228.011,1649.216
jun_inf_4.jpg,roi_2,239,493,601.515,0.82,150.439,0.366,0.305,1.515,908.416,92.087,681.363
jun_inf_5.jpg,roi_2,608,1338,1625.392,0.823,391.533,0.355,0.268,1.949,2464.08,251.187,1790.419
ono_sen_3.jpg,roi_2,217,331,881.463,0.376,355.899,0.518,0.379,2.386,1490.226,279.378,1426.896
ono_sen_4.jpg,roi_2,95,147,452.555,0.325,177.677,0.483,0.423,1.663,777.453,104.18,683.117
pha_aru_1.jpg,roi_2,559,803,810.398,0.991,241.501,0.412,0.379,1.498,1185.853,145.074,1061.557
pha_aru_2.jpg,roi_2,369,545,696.072,0.783,272.098,0.551,0.494,2.585,999.171,228.465,1217.397
pha_aru_3.jpg,roi_2,391,625,911.781,0.685,420.804,0.765,0.542,3.848,1151.19,727.765,2201.338
pha_aru_4.jpg,roi_2,305,419,623.249,0.672,280.254,0.631,0.568,2.359,873.308,277.27,1253.025
pha_aru_5.jpg,roi_2,673,1217,1503.074,0.81,599.391,0.63,0.515,3.029,1883.075,706.169,2993.211
pha_aru_6.jpg,roi_2,209,311,450.946,0.69,221.948,0.741,0.611,3.09,601.841,307.572,1056.815
pha_aru_7.jpg,roi_2,718,1141,1676.871,0.68,804.963,0.758,0.593,3.877,2152.879,1270.951,4051.865
pot_rec_2.jpg,roi_2,53,83,231.406,0.359,128.1,0.686,0.599,2.201,382.843,121.151,499.193
sym_eri_1.jpg,roi_2,61,63,187.728,0.336,85.242,0.523,0.535,1.203,335.791,49.979,310.346
tar_off_1.jpg,roi_2,87,85,273.353,0.311,127.815,0.545,0.423,2.254,495.101,105.336,472.588
tar_off_2.jpg,roi_2,94,96,279.986,0.343,123.89,0.507,0.456,1.355,507.845,72.403,448.134
tar_off_3.jpg,roi_2,48,46,147.605,0.312,76.446,0.6,0.479,1.743,266.331,54.08,278.472
tar_off_4.jpg,roi_2,57,65,270.525,0.24,106.557,0.452,0.423,1.139,498.049,51.649,382.812
tar_off_5.jpg,roi_2,68,80,262.383,0.305,126.091,0.551,0.535,1.25,466.967,74.725,458.061
tar_off_6.jpg,roi_2,73,83,329.067,0.252,149.009,0.518,0.494,1.339,599.948,81.897,536.541
tar_off_7.jpg,roi_2,59,57,229.446,0.248,112.301,0.552,0.593,1.27,423.788,65.402,397.45
woo_obt_2.jpg,roi_2,253,393,523.255,0.751,144.376,0.385,0.339,1.575,807.789,81.571,628.477
woo_obt_7.jpg,roi_2,184,300,406.385,0.738,118.473,0.393,0.349,1.188,629.815,60.679,498.167
ach_asp_1.jpg,roi_2,204,296,529.642,0.559,221.406,0.548,0.479,1.78,831.1,170.198,914.35
asc_syr_1.jpg,roi_2,138,156,396.663,0.393,191.729,0.566,0.593,1.314,689.685,121.486,712.391
bio_umb_1.jpg,roi_2,145,299,494.805,0.604,107.555,0.267,0.239,1.104,880.925,41.132,414.9
bio_umb_2.jpg,roi_2,82,94,244.137,0.385,60.914,0.297,0.254,1.13,449.368,23.392,228.116
cam_rad_1.jpg,roi_2,148,182,464.527,0.392,234.258,0.62,0.535,2.208,770.623,192.135,907.835
cam_rad_2.jpg,roi_2,106,130,362.474,0.359,181.605,0.583,0.611,1.439,633.08,114.52,665.98
cam_rad_3.jpg,roi_2,123,181,426.69,0.424,209.182,0.6,0.568,1.554,709.413,147.562,805.303
cam_rad_4.jpg,roi_2,148,210,411.05,0.511,199.801,0.625,0.568,1.737,642.858,161.223,809.625
cam_rad_5.jpg,roi_2,104,132,274.324,0.481,106.595,0.479,0.456,1.533,461.352,59.377,414.067
cri_moo_1.jpg,roi_2,73,89,294.415,0.302,183.623,0.743,0.677,1.947,502.365,158.334,690.448
cri_moo_2.jpg,roi_2,114,120,356.068,0.337,274.772,0.975,0.799,3.294,570.122,351.799,1098.787
cri_moo_3.jpg,roi_2,160,162,453.713,0.357,342.053,0.945,0.803,2.626,719.451,409.616,1355.687
cri_moo_4.jpg,roi_2,110,118,342.774,0.344,234.184,0.836,0.781,2.49,563.515,221.315,907.12
cri_moo_5.jpg,roi_2,103,113,341.962,0.33,259.292,0.947,0.912,2.715,543.92,285.046,1028.001
equ_hym_5.jpg,roi_2,123,143,246.54,0.58,75.373,0.389,0.349,1.314,405.17,37.503,303.002
gal_apa_1.jpg,roi_2,92,146,299.304,0.488,92.353,0.371,0.349,1.25,523.835,42.274,349.845
geu_tri_2.jpg,roi_2,44,62,235.392,0.263,73.616,0.366,0.254,1.317,432.205,40.827,276.873
