species_author,Family,Order,Superorder,Group,Sample_reference_code,Life_cycle_habit,Plant_growth_habit,C (%),S (%),R (%),CSR,Color_values,growth_habit_grey,growth_habit_color,Growth_habit_symbol
Pulsatilla alpina (L.) Delarbre apiifolia (Scop.) Nyman,Ranunculaceae,Ranunculales,Ranunculanae,Dicot,Cerabolini/Pierce,perennial,forb,41.68,29.95,28.36,CSR,"@rgb(106,76,72)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Pulsatilla alpina (L.) Delarbre austroalpina D. M. Moser,Ranunculaceae,Ranunculales,Ranunculanae,Dicot,Cerabolini/Pierce,perennial,forb,45.91,12.93,41.16,CR/CSR,"@rgb(117,33,105)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Pulsatilla aurea Juz.,Ranunculaceae,Ranunculales,Ranunculanae,Dicot,Soudzilovskaia,perennial,forb,54.37,30,15.63,C/CSR,"@rgb(139,77,40)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Pulsatilla montana (Hoppe) Rchb. montana,Ranunculaceae,Ranunculales,Ranunculanae,Dicot,Cerabolini/Pierce,perennial,forb,28.4,41.32,30.28,CSR,"@rgb(72,105,77)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Pulsatilla pratensis (L.) Mill.,Ranunculaceae,Ranunculales,Ranunculanae,Dicot,Kleyer,perennial,forb,41.16,58.84,0,CS,"@rgb(105,150,0)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Pulsatilla vernalis (L.) Mill.,Ranunculaceae,Ranunculales,Ranunculanae,Dicot,Kleyer,perennial,forb,30.9,67.08,2.02,S/CS,"@rgb(79,171,5)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Pulsatilla vulgaris Mill.,Ranunculaceae,Ranunculales,Ranunculanae,Dicot,Kleyer,perennial,forb,55.2,41.97,2.84,CS,"@rgb(141,107,7)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Pycnanthemum tenuifolium Schrad.,Lamiaceae,Lamiales,Asteranae,Dicot,Weiher,perennial,forb,2.33,80.62,17.04,S/SR,"@rgb(6,206,43)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Pyrola elliptica Nutt.,Ericaceae,Ericales,Asteranae,Dicot,Shipley,perennial,shrub,10.67,76.33,13,S/SR,"@rgb(27,195,33)","@rgb(192,192,192)","@rgb(0,0,0)","@symbol(6,512,0)"
Pyrola minor L.,Ericaceae,Ericales,Asteranae,Dicot,Kleyer,perennial,shrub,13.21,51.64,35.15,SR/CSR,"@rgb(34,132,90)","@rgb(192,192,192)","@rgb(0,0,0)","@symbol(6,512,0)"
Pyrola rotundifolia L.,Ericaceae,Ericales,Asteranae,Dicot,Wright,perennial,shrub,33.42,37.02,29.56,CSR,"@rgb(85,94,75)","@rgb(192,192,192)","@rgb(0,0,0)","@symbol(6,512,0)"
Quararibea amazonica Ulbr.,Malvaceae,Malvales,Rosanae,Dicot,Wright,perennial,tree,49.23,38.32,12.46,CS/CSR,"@rgb(126,98,32)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
Quassia amara L.,Simaroubaceae,Sapindales,Rosanae,Dicot,Wright,perennial,tree,56.07,30.92,13.01,C/CSR,"@rgb(143,79,33)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
Quercus cerris L.,Fagaceae,Fagales,Rosanae,Dicot,Cornelissen,perennial,tree,28.95,68.02,3.03,S/CS,"@rgb(74,173,8)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
Quercus coccifera L.,Fagaceae,Fagales,Rosanae,Dicot,Wright,perennial,shrub,9.38,90.62,0,S,"@rgb(24,231,0)","@rgb(192,192,192)","@rgb(0,0,0)","@symbol(6,512,0)"
Quercus gambelii Nutt,Fagaceae,Fagales,Rosanae,Dicot,Laughlin,perennial,shrub,33.08,60.99,5.93,S/CS,"@rgb(84,156,15)","@rgb(192,192,192)","@rgb(0,0,0)","@symbol(6,512,0)"
Quercus ilex L.,Fagaceae,Fagales,Rosanae,Dicot,Cerabolini/Pierce,perennial,tree,25.39,63.95,10.67,S/CS,"@rgb(65,163,27)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
Quercus petraea (Matt.) Liebl.,Fagaceae,Fagales,Rosanae,Dicot,Cornelissen,perennial,tree,28.14,63.23,8.63,S/CS,"@rgb(72,161,22)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
Quercus pubescens Willd.,Fagaceae,Fagales,Rosanae,Dicot,Kleyer,perennial,tree,34.26,63.86,1.88,S/CS,"@rgb(87,163,5)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
Quercus pubescens Willd. pubescens,Fagaceae,Fagales,Rosanae,Dicot,Cerabolini,perennial,tree,31.28,67.72,1,S/CS,"@rgb(80,173,3)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
Quercus robur L.,Fagaceae,Fagales,Rosanae,Dicot,Wright,perennial,tree,27.15,63.3,9.55,S/CS,"@rgb(69,161,24)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
Quercus rubra L.,Fagaceae,Fagales,Rosanae,Dicot,Wright,perennial,tree,32.72,57.31,9.97,S/CSR,"@rgb(83,146,25)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
Quercus suber L.,Fagaceae,Fagales,Rosanae,Dicot,Cerabolini/Pierce,perennial,tree,26.35,66.45,7.2,S/CS,"@rgb(67,169,18)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
Quercus virgiliana (Ten.) Ten.,Fagaceae,Fagales,Rosanae,Dicot,Cerabolini/Pierce,perennial,tree,36.49,56.75,6.75,CS,"@rgb(93,145,17)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
Radiola linoides Roth,Linaceae,Malpighiales,Rosanae,Dicot,Kleyer,annual,forb,0,36.23,63.77,R/SR,"@rgb(0,92,163)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Randia armata (Sw.) DC. ,Rubiaceae,Gentianales,Asteranae,Dicot,Wright,perennial,tree,48.58,34.57,16.85,CS/CSR,"@rgb(124,88,43)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
Ranunculus aconitifolius L.,Ranunculaceae,Ranunculales,Ranunculanae,Dicot,Kleyer,perennial,forb,72.51,0,27.49,C/CR,"@rgb(185,0,70)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Ranunculus acris L. acris,Ranunculaceae,Ranunculales,Ranunculanae,Dicot,Cerabolini/Pierce,perennial,forb,53.27,5.47,41.27,CR,"@rgb(136,14,105)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Ranunculus alpestris L.,Ranunculaceae,Ranunculales,Ranunculanae,Dicot,Cerabolini,perennial,forb,16.56,42.12,41.32,SR/CSR,"@rgb(42,107,105)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Ranunculus aquatilis L.,Ranunculaceae,Ranunculales,Ranunculanae,Dicot,Cerabolini/Pierce,perennial,aquatic,11.11,0,88.89,R,"@rgb(28,0,227)","@rgb(192,192,192)","@rgb(0,0,255)","@symbol(5,512,0)"
Ranunculus arvensis L.,Ranunculaceae,Ranunculales,Ranunculanae,Dicot,Cerabolini/Pierce,biennial,forb,22.94,5.28,71.78,R/CR,"@rgb(58,13,183)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Ranunculus bulbosus L.,Ranunculaceae,Ranunculales,Ranunculanae,Dicot,Cerabolini/Pierce,perennial,forb,41.2,23.73,35.07,CR/CSR,"@rgb(105,61,89)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Ranunculus circinatus Sibth.,Ranunculaceae,Ranunculales,Ranunculanae,Dicot,Kleyer,perennial,forb,4.02,0,95.98,R,"@rgb(10,0,245)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Ranunculus crassifolius Grossh.,Ranunculaceae,Ranunculales,Ranunculanae,Dicot,Soudzilovskaia,perennial,forb,26.41,16.17,57.42,R/CSR,"@rgb(67,41,146)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Ranunculus fascicularis Muhl. ex Bigelow,Ranunculaceae,Ranunculales,Ranunculanae,Dicot,Weiher,perennial,forb,23.08,13.44,63.48,R/CR,"@rgb(59,34,162)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Ranunculus ficaria L.,Ranunculaceae,Ranunculales,Ranunculanae,Dicot,Cerabolini/Pierce,perennial,forb,33.46,0,66.54,R/CR,"@rgb(85,0,170)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Ranunculus flammula L.,Ranunculaceae,Ranunculales,Ranunculanae,Dicot,Kleyer,perennial,forb,32.17,8.25,59.58,R/CR,"@rgb(82,21,152)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Ranunculus fluitans Lam.,Ranunculaceae,Ranunculales,Ranunculanae,Dicot,Cerabolini/Pierce,perennial,aquatic,32.62,0,67.38,R/CR,"@rgb(83,0,172)","@rgb(192,192,192)","@rgb(0,0,255)","@symbol(5,512,0)"
Ranunculus glacialis L.,Ranunculaceae,Ranunculales,Ranunculanae,Dicot,Cerabolini/Pierce,perennial,forb,40.64,0,59.36,CR,"@rgb(104,0,151)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Ranunculus hybridus Biria,Ranunculaceae,Ranunculales,Ranunculanae,Dicot,Cerabolini,perennial,forb,32.78,41.01,26.22,CSR,"@rgb(84,105,67)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Ranunculus kuepferi Greuter & Burdet kuepferi,Ranunculaceae,Ranunculales,Ranunculanae,Dicot,Cerabolini/Pierce,perennial,forb,22.22,55.07,22.7,S/CSR,"@rgb(57,140,58)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
