Species,Species_gbif,Sample Number,Code,Collected,Ethanol,Dried,Scanned,Dried-2,Weighed,Weight_g,Stained,Mounted,mycorrhizal_colonization,coll_location,hair_length_raw,hair_density_raw,hair_factor
Linaria vulgaris,Linaria vulgaris,1,lin_vul_1,yes,yes,yes,yes,yes,yes,0.0091,yes,yes,31,field,0,0,0
Linaria vulgaris,Linaria vulgaris,2,lin_vul_2,yes,yes,yes,yes,yes,yes,0.0023,yes,yes,38,field,78,3,234
Linaria vulgaris,Linaria vulgaris,3,lin_vul_3,yes,yes,yes,yes,yes,yes,0.0046,yes,yes,15,field,66,2,132
Linaria vulgaris,Linaria vulgaris,4,lin_vul_4,yes,yes,yes,yes,yes,yes,0.0148,yes,yes,21,field,87,1,87
Linaria vulgaris,Linaria vulgaris,5,lin_vul_5,yes,yes,yes,yes,yes,yes,0.0111,yes,yes,40,field,0,0,0
Linaria vulgaris,Linaria vulgaris,6,lin_vul_6,yes,yes,yes,yes,yes,yes,0.0032,yes,yes,35,field,0,0,0
Linaria vulgaris,Linaria vulgaris,7,lin_vul_7,yes,yes,yes,yes,yes,yes,0.0067,yes,yes,2,field,77,8,616
Mercurialis annua,Mercurialis annua,1,mer_ann_1,yes,yes,yes,yes,yes,yes,0.0039,yes,yes,42,field,78,9,702
Mercurialis annua,Mercurialis annua,2,mer_ann_2,yes,yes,yes,yes,yes,yes,0.0161,yes,yes,47,field,59,11,649
Mercurialis annua,Mercurialis annua,3,mer_ann_3,yes,yes,yes,yes,yes,yes,0.0014,yes,yes,48,field,45,13,585
Mercurialis annua,Mercurialis annua,4,mer_ann_4,yes,yes,yes,yes,yes,yes,0.0029,yes,yes,35,field,76,12,912
Mercurialis annua,Mercurialis annua,5,mer_ann_5,yes,yes,yes,yes,yes,yes,0.0045,yes,yes,53,field,53,7,371
Monarda fistulosa,Monarda fistulosa,1,mon_fis_1,yes,yes,yes,yes,yes,yes,0.0169,yes,yes,72,field,25,6,150
Monarda fistulosa,Monarda fistulosa,2,mon_fis_2,yes,yes,yes,yes,yes,yes,0.0034,yes,yes,87,field,21,5,105
Monarda fistulosa,Monarda fistulosa,3,mon_fis_3,yes,yes,yes,yes,yes,yes,0.0123,yes,yes,84,field,100,4,400
